,s3_path,label
0,s3://ladi/Images/FEMA_CAP/1013/20145/DSC_0020_e34a1edc-6d5c-472e-847e-89dac3ed4519.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,s3://ladi/Images/FEMA_CAP/1013/20145/DSC_0028_18dcd0d8-4b79-452e-9ade-604d4f13ddfd.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,s3://ladi/Images/FEMA_CAP/1013/20145/DSC_0035_add5632e-eec2-42a4-a7db-8c42871164c2.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,s3://ladi/Images/FEMA_CAP/1013/20145/DSC_0042_970b36fb-582b-4b51-a581-923efb394278.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1575_787dc8f2-fb8f-4464-99a2-45ba5fc677c2.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
5,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1579_0974d9a0-aa3a-4389-ba18-3c3dcd4a5e59.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
6,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1583_3eedb6bb-da5a-4e50-bcbe-765338370ef7.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
7,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1592_961cfdbc-0de8-4f06-9653-17c47cc7c464.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1593_69721f5b-1689-4ee2-ae0b-6bdc8e62831d.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
9,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1601_aa4b241d-61ba-4f8f-ab0e-092d6d623a21.jpg,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
10,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1602_42ffdfd0-f7a9-4a77-9dec-62ccd4433f80.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
11,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1607_6e0b5f5d-7935-4c9a-9950-1599c27a9f90.jpg,[1 0 1 0 0 0 0 1 0 0 0 0 0 0 0]
12,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0003_eb16f0b1-3cd7-4429-a46a-6e437c2930bd.jpg,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
13,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0005_33509ed4-f125-46f0-b877-9778ffaf1cb7.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0009_ee0aa473-4759-4714-be6e-b1a5870538ae.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
15,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0011_25464d70-2c1f-42f4-ba0a-ec964d18f858.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
16,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0044_06f30ac3-e4e9-4789-b08a-262c2f3a26c1.jpg,[1 0 0 0 1 0 0 0 0 1 0 1 0 0 0]
17,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0051_5952fd8a-7a02-4f91-ab22-77c7af763252.jpg,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0055_13ed2b87-ff53-48b1-bbeb-35c9a135fccd.jpg,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
19,s3://ladi/Images/FEMA_CAP/1013/20150/DSC_0012_058051a0-26a8-436a-a23d-8b3e7cb60c3d.jpg,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
